GHGRP Facility ID,FACILITY NAME,GHGRP - City,GHGRP - State,ORIS CODE,ORIS CODE 2,ORIS CODE 3,ORIS CODE 4,ORIS CODE 5,GHGRP - Power Plant Sector,Reported Subparts RY10,Reported Subparts RY11,Reported Subparts RY12,Reported Subparts RY13,Reported Subparts RY14,Reported Subparts RY15,Reported Subparts RY16,Reported Subparts RY17,Reported Subparts RY18,Reported Subparts RY19,Reported Subparts RY20
1007842,Mitchell Power Station,COURTNEY,PA,3181,,,,,Yes,"C,D","C,D","C,D","C,D",No submission,No submission,No submission,No submission,No submission,No submission,No submission
1007843,Willow Island Power Station,WILLOW ISLAND,WV,3946,,,,,Yes,"C,D","C,D","C,D",No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1007844,Paulsboro Refining Company LLC,PAULSBORO,NJ,50628,,,,,,"C,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y"
1007845,HAWAIIAN ELECTRIC COMPANY (HECO) - WAIAU GENERATING STATION,PEARL CITY,HI,766,,,,,Yes,C (Abbr),C,C,C,C,C,C,C,C,C,C
1007846,"WestRock CP, LLC - Seminole Mill (Formerly Smurfit-Stone)",JACKSONVILLE,FL,50803,,,,,,C,"C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT"
1007848,"RECAST ENERGY LOUISVILLE, LLC",LOUISVILLE,KY,No Match,,,,,Yes,C (Abbr),C,C,C,C,C,C,No submission,No submission,No submission,No submission
1007852,WASTE MANAGEMENT SKYLINE LANDFILL,FERRIS,TX,56528,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007855,Naples Landfill,NAPLES,FL,57168,,,,,,HH,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1007864,Hazleton Generation,Hazle Township,PA,10870,,,,,Yes,"C,D","C,D","C,D","C,D","C,D",No submission,No submission,No submission,No submission,No submission,No submission
1007867,Packaging Corporation of America,COUNCE,TN,50296,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1007870,Reedy Creek Improvement District/Walt Disney World Resort,LAKE BUENA VISTA,FL,7254,,,,,Yes,"C,D,NN","C,D,NN","C,D,NN","C,D,NN","C,D,NN","C,D,NN","C,D,NN","C,D,NN","C,D,NN","C,D,NN","C,D,NN"
1007874,NIKISKI CO-GENERATION,NIKISKI,AK,55966,,,,,Yes,C (Abbr),C,C,C,C,C,C,C,C,C,C
1007878,DEER TRACK PARK LANDFILL,WATERTOWN,WI,56520,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
