GHGRP Facility ID,FACILITY NAME,GHGRP - City,GHGRP - State,ORIS CODE,ORIS CODE 2,ORIS CODE 3,ORIS CODE 4,ORIS CODE 5,GHGRP - Power Plant Sector,Reported Subparts RY10,Reported Subparts RY11,Reported Subparts RY12,Reported Subparts RY13,Reported Subparts RY14,Reported Subparts RY15,Reported Subparts RY16,Reported Subparts RY17,Reported Subparts RY18,Reported Subparts RY19,Reported Subparts RY20
1000001,PSE Ferndale Generating Station,FERNDALE,WA,54537,,,,,Yes,C,C,D,D,D,D,D,D,D,D,D
1000019,WESTERN SUGAR COMPANY,SCOTTSBLUFF,NE,57937,,,,,,"C,S","C,S","C,S","C,S","C,S",C,C,"C,S","C,S","C,S","C,S"
1000031,Northwest Regional Landfill,Surprise,AZ,57403,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1000033,San Gabriel Cogeneration Facility,POMONA,CA,50300,,,,,Yes,C (Abbr),C,C,C,C,C,C,C,C,C,No submission
1000034,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,10861,,,,,,C (Abbr),C,C,C,C,C,C,C,C,C,C
1000036,UNIVERSITY OF CINCINNATI,CINCINNATI,OH,57908,57929,,,,,C,C,C,C,C,C,C,C,C,C,C
1000049,Lange,RAPID CITY,SD,55478,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000050,Wygen I,GILLETTE,WY,55479,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000051,"Mariposa Energy, LLC",Byron,CA,57483,,,,,Yes,No submission,No submission,"C,D",D,D,D,D,D,D,D,D
1000052,Mesquite Generating Station,ARLINGTON,AZ,55481,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000053,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,HOUSTON,TX,57504,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000055,CALPINE NEWARK,NEWARK,NJ,50797,,,,,Yes,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000057,Tri-Center Naniwa Energy,MCCARRAN,NV,55494,,,,,Yes,D,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission
1000058,CalPeak Power - Vaca Dixon LLC,VACAVILLE,CA,55499,,,,,Yes,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000059,Tenaska Kiamichi Generating Station,KIOWA,OK,55501,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000060,Limon Generating Station,LIMON,CO,55504,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000061,Frank Knutson Station,COMMERCE CITY,CO,55505,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D",No submission,"C,D","C,D","C,D"
1000065,CalPeak Power - Border LLC,SAN DIEGO,CA,55510,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000067,Cuyamaca Energy Facility,EL CAJON,CA,55512,,,,,Yes,D,D,D,D,D,D,D,No submission,No submission,No submission,No submission
1000068,Apex Generating Station,LAS VEGAS,NV,55514,,,,,Yes,"C,D","C,D,DD","C,D,DD","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000069,"Wallingford Energy, LLC",WALLINGFORD,CT,55517,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000070,High Desert Power Project,VICTORVILLE,CA,55518,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000071,York Energy Center,Delta,PA,55524,,,,,Yes,No submission,D,D,D,D,D,D,D,D,D,"C,D"
1000074,"Escondido Energy Center, LLC",ESCONDIDO,CA,55538,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000075,Chula Vista Energy Center,CHULA VISTA,CA,55540,,,,,Yes,D,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission
1000076,Klamath Energy LLC,Klamath Falls,OR,55544,,,,,Yes,D,D,D,D,D,D,D,No submission,D,D,D
1000078,"Combined Locks Energy Center, LLC",COMBINED LOCKS,WI,55558,,,,,Yes,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000080,Creed Energy Center,SUISUN CITY,CA,55625,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000081,Lambie Energy Center,SUISUN CITY,CA,55626,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000082,Goose Haven Energy Center,SUISUN CITY,CA,55627,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000084,Seminole (136),PALATKA,FL,136,,,,,Yes,D,"D,TT","D,TT","D,TT","D,TT","D,TT","D,TT","D,TT","D,TT","D,TT","D,TT"
1000085,Hartwell Energy Facility,HARTWELL,GA,70454,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000087,Energy Center Dover,DOVER,DE,10030,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000088,GSA Central Heating,WASHINGTON,DC,880004,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000089,AdvanSix Resins & Chemicals LLC,PHILADELPHIA,PA,880007,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000091,Norwich,NORWICH,CT,581,,,,,,NN,"NN,W","NN,W","NN,W","NN,W","NN,W","NN,W","NN,W","NN,W","NN,W","NN,W"
1000092,Kneeland Station,BOSTON,MA,880023,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000093,Momentive Performance Materials,WATERFORD,NY,880024,,,,,,C,"C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT","C,TT"
1000095,Red Oak Power LLC,SAYREVILLE,NJ,55239,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000096,Southeast Chicago Energy Project,CHICAGO,IL,55281,,,,,Yes,D,D,D,D,D,D,D,D,D,D,No submission
1000097,Gila River Power Station,Gila Bend,AZ,55306,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000098,"Wise County Power Company, LLC",POOLVILLE,TX,55320,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000099,Robinson Refinery,Robinson,IL,880088,,,,,,"C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y","C,MM,Y"
1000100,"New Harquahala Generating Company, LLC",TONOPAH,AZ,55372,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000101,Athens Generating Company,ATHENS,NY,55405,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000102,Sunrise Power Company,FELLOWS,CA,55182,,,,,Yes,D,"D,DD","D,DD","D,DD",D,D,D,D,D,D,D
1000106,Waterford Plant,WATERFORD,OH,55503,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000107,Osprey Energy Center,AUBURNDALE,FL,55412,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000108,North 1st,BROOKLYN,NY,7915,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000109,West Lorain,LORAIN,OH,2869,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000110,Midulla Generating Station,BOWLING GREEN,FL,7380,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000111,Vernon Boulevard,LONG ISLAND CITY,NY,7909,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000112,23rd and 3rd,BROOKLYN,NY,7910,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000113,Pouch Terminal,STATEN ISLAND,NY,8053,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000114,Brentwood,BRENTWOOD,NY,7912,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000115,Osceola,SAINT CLOUD,FL,55192,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",No submission,No submission
1000116,Harlem River Yard,BRONX,NY,7914,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000117,"West Valley Power, LLC",WEST VALLEY CITY,UT,55622,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000118,Solway Plant,SOLWAY,MN,7947,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000119,Hoosier Energy Lawrence Co Station,MITCHELL,IN,7948,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000120,Evander Andrews Power Complex,Mountain Home,ID,7953,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000121,Warren F. Sam Beasley Pwr Station,SMYRNA,DE,7962,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000122,"Gilroy Energy Center, LLC for King City",KING CITY,CA,10294,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000123,Yuba City Energy Center,YUBA CITY,CA,10349,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000124,US Steel (Clairton Coke),CLAIRTON,PA,50729,,,,,,"C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q"
1000125,Ackerman Combined Cycle,ACKERMAN,MS,55694,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D",D,"C,D","C,D","C,D"
1000126,Boardman Power Holdings LLC,BOARDMAN,OR,55683,,,,,Yes,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000127,Bethlehem Power Plant,BETHLEHEM,PA,55690,,,,,Yes,D,D,D,D,D,D,"C,D","C,D",D,D,D
1000128,Indigo Generation Facility,NORTH PALM SPRINGS,CA,55541,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000129,AL Sandersville,WARTHEN,GA,55672,,,,,Yes,D,D,D,D,D,D,D,No submission,D,D,D
1000130,Hanford Energy Park Peaker,HANFORD,CA,55698,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000131,Bayswater Peaking Facility,FAR ROCKAWAY,NY,55699,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000132,Astoria Gas Turbine Power,ASTORIA,NY,55243,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000133,Pastoria Energy Facility,LEBEC,CA,55656,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000135,"LSP University Park, LLC",UNIVERSITY PARK,IL,55640,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000136,Riverside Energy Center,BELOIT,WI,55641,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000138,Lawrenceburg Energy Facility,LAWRENCEBURG,IN,55502,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000141,Blue Spruce Energy Center,AURORA,CO,55645,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000144,Chehalis Generation Facility,CHEHALIS,WA,55662,,,,,Yes,D,D,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000145,Harrison County Power Project,MARSHALL,TX,55664,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000146,Lower Mount Bethel Energy,BANGOR,PA,55667,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000147,Larkspur Energy Faciity,SAN DIEGO,CA,55542,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000148,"Chambersburg Units 12,13",CHAMBERSBURG,PA,55654,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000149,Taconite Harbor Energy Center,SCHROEDER,MN,10075,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000150,Chuck Lenzie Generating Station,APEX,NV,55322,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000151,Peno Creek Energy Center,BOWLING GREEN,MO,7964,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000152,Crossroads Energy Center (CPU),CLARKSDALE,MS,55395,,,,,Yes,C,C,C,D,D,D,D,D,D,D,D
1000153,"Dynegy Hanging Rock, II LLC",IRONTON,OH,55736,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000155,Broadway Avenue Generating Station,EVANSVILLE,IN,1011,,,,,Yes,C,C,C,C,C,C,No submission,No submission,No submission,No submission,No submission
1000156,Mittal Steel USA - Indiana Harbor East,EAST CHICAGO,IN,10474,,,,,,"C,Q,S","C,Q,S","C,Q,S","C,Q,S","C,Q,S","C,Q,S","C,Q,S","C,Q,S","C,Q,S","C,Q,S","C,Q,S"
1000157,Hardin Generating Station,HARDIN,MT,55749,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000158,Ascend (Decatur Plant),DECATUR,AL,880041,,,,,,"C,P,PP","C,P,PP","C,P,PP","C,P,PP","C,P,PP","C,P,PP","C,P,PP","C,P,PP","C,P,PP","C,P,PP","C,P,PP"
1000159,US Steel (Fairfield Works),FAIRFIELD,AL,50730,,,,,,"C,Q","C,Q,TT","C,Q,TT","C,Q,TT","C,Q,TT","C,Q,TT","C,TT","C,TT","C,TT","C,TT","C,Q,TT"
1000161,Redding Power Plant,REDDING,CA,7307,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000162,Lordsburg Generating Station,LORDSBURG,NM,7967,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000163,Mill Creek Combustion Turbine Sta,BLACKSBURG,SC,7981,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000164,Factory Gas Turbine,SPRINGFIELD,IL,8016,,,,,,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000165,Purdue University-Wade Utility,WEST LAFAYETTE,IN,50240,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000166,"WestRock Kraft Paper, LLC",ROANOKE RAPIDS,NC,50254,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1000168,"Dynegy Energy Washington II, LLC",BEVERLY,OH,55397,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000169,Raccoon Creek Power Plant,FLORA,IL,55417,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000170,Newington Energy,NEWINGTON,NH,55661,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000171,Choctaw County Gen,FRENCH CAMP,MS,55706,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000172,Nacogdoches Power LLC,Cushing,TX,55708,,,,,Yes,No submission,No submission,D,D,D,D,D,No submission,No submission,No submission,No submission
1000173,DTE East China,EAST CHINA,MI,55718,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000174,"Buchanan Units 1, 2",KEEN MOUNTAIN,VA,55738,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000175,Los Esteros Critical Energy Fac,SAN JOSE,CA,55748,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000177,"RG Steel, LLC",WARREN,OH,54207,,,,,,"C,Q","C,Q",No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000179,Bernville Station,Robesonia,PA,880049,,,,,,C,"C,W","C,W","C,W","C,W","C,W","C,W","C,W","C,W","C,W","C,W"
1000180,Shermans Dale Station,SHERMANS DALE,PA,880050,,,,,,C,"C,W","C,W","C,W","C,W","C,W","C,W","C,W","C,W","C,W","C,W"
1000181,Pyramid Generating Station,LORDSBURG,NM,7975,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000182,Kalkaska Ct Project #1,KALKASKA,MI,7984,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000183,Pixelle Specialty Solutions LLC,CHILLICOTHE,OH,10244,,,,,,"AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C"
1000185,Magnet Cove Generating Station,MALVERN,AR,55714,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000186,Procter & Gamble Company - Ivorydale,CINCINNATI,OH,880028,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000188,Lamar,LAMAR,CO,508,,,,,Yes,"C,D","C,D","C,D","C,D","C,D",No submission,No submission,No submission,No submission,No submission,No submission
1000190,Silver Creek Generating Plant,PRENTISS,MS,7988,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000192,Labadie,LABADIE,MO,2103,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000199,DON HENRY POWER CENTER,HASTINGS,NE,2243,,,,,Yes,C,C,C,C,C,C,No submission,No submission,No submission,No submission,No submission
1000200,Butler-Warner Generation Plant,FAYETTEVILLE,NC,1016,,,,,Yes,D,D,D,D,D,D,D,No submission,No submission,No submission,No submission
1000203,Lakefield Junction Generating,TRIMONT,MN,7925,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000207,Grays Harbor Energy Center,Elma,WA,7999,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000208,AMP-Ohio Gas Turbines Bowling Green,Bowling Green,OH,55262,,,,,Yes,"C,D","C,D","C,D",No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000209,OMEGA JV2 Bowling Green,Bowling Green,OH,7783,,,,,Yes,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000211,Elk River,ELK RIVER,MN,2039,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000219,French Island,LA CROSSE,WI,4005,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000221,Alfred L Pierce Generating Station,WALLINGFORD,CT,6635,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000222,Sumpter Plant,BELLEVILLE,MI,7972,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000223,Greater Des Moines Energy Center,PLEASANT HILL,IA,7985,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000224,Lake,BURBANK,CA,7987,,,,,Yes,D,D,D,"C,D","C,D","C,D","C,D",No submission,No submission,No submission,No submission
1000225,CPI USA North Carolina Southport,SOUTHPORT,NC,10378,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000226,CPI USA North Carolina Roxboro,ROXBORO,NC,10379,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000227,Coastal Carolina Clean Power LLC,KENANSVILLE,NC,10381,,,,,Yes,C,C,C,C,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1000228,International Paper - New Bern Mill,Vanceboro,NC,50188,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1000229,Domtar Paper Company LLC - Plymouth,PLYMOUTH,NC,50189,,,,,,"AA,C,PP","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1000230,Blue Ridge Paper Products LLC,CANTON,NC,50244,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1000231,"Edgecombe Genco, LLC",BATTLEBORO,NC,10384,,,,,Yes,C (Abbr),C,C,C,C,C,D,D,D,No submission,No submission
1000232,Eastman Chemical Company,KINGSPORT,TN,50481,,,,,,"C,X","C,TT,X","C,TT,X","C,TT,X","C,TT,X","C,TT,X","C,TT,X","C,TT,X","C,TT,X","C,TT,X","C,TT,X"
1000233,US Steel (Edgar Thomson),Braddock,PA,50732,,,,,,"C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q"
1000234,The University of NC Chapel Hill,CHAPEL HILL,NC,54276,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000235,Shenango Incorporated,PITTSBURGH,PA,54532,,,,,,"C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q",No submission,No submission,No submission,No submission
1000236,Portside Energy,PORTAGE,IN,55096,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000237,Sundance Power Plant,CASA GRANDE,AZ,55522,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000241,Kyrene Generating Station,TEMPE,AZ,147,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000244,Bennett Mountain Power Project,Mountain Home,ID,55733,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000246,Frank M Tait Station,MORAINE,OH,2847,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000248,"Otsego Paper, Inc.",OTSEGO,MI,55799,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000249,West Campus Cogeneration Facility,MADISON,WI,7991,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000250,Santan,GILBERT,AZ,8068,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000251,Grant Town Power Plant,GRANT TOWN,WV,10151,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000252,City Point Energy Center,HOPEWELL,VA,10377,,,,,Yes,D,D,D,D,D,C,C,C,C,C,No submission
1000253,Morgantown Energy Facility,MORGANTOWN,WV,10743,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000254,Eagle Natrium LLC - Natrium Plant,Proctor,WV,50491,,,,,,C (Abbr),C,C,C,C,C,C,C,C,C,C
1000255,"Optim Energy Altura Cogen, LLC",CHANNELVIEW,TX,50815,,,,,Yes,"C,D","C,D","C,D","C,D","C,D",D,D,D,D,D,D
1000256,"WestRock Virginia, Covington",COVINGTON,VA,50900,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1000257,Mecklenburg Power Station,CLARKSVILLE,VA,52007,,,,,Yes,"C,D","C,D","C,D","C,D","C,D",D,D,D,D,No submission,No submission
1000258,International Paper-Franklin Mill,FRANKLIN,VA,52152,,,,,,"AA,C",No submission,"AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1000259,Birchwood Power Facility,KING GEORGE,VA,54304,,,,,Yes,C,C,C,C,C,C,C,C,C,"C,D",D
1000260,ArcelorMittal Weirton LLC,WEIRTON,WV,54344,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000261,Ingredion Incorporated Argo Plant,BEDFORD PARK,IL,54556,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000262,"WestRock Coated Board, LLC",PHENIX CITY,AL,54802,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1000263,Gordonsville Power Station,GORDONSVILLE,VA,54844,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000264,Goose Creek Power Plant,MONTICELLO,IL,55496,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000265,"Dynegy Energy Fayette, II LLC",MASONTOWN,PA,55516,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000266,Binghamton Cogen Plant,BINGHAMTON,NY,55600,,,,,Yes,D,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission
1000267,Edgewood Energy,BRENTWOOD,NY,55786,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000268,Shoreham Energy,SHOREHAM,NY,55787,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000269,Marcus Hook Energy Center - MH750,MARCUS HOOK,PA,55801,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000270,Valencia Power Plant,BELEN,NM,55802,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000271,Rocky Mountain Energy Center,KEENESBURG,CO,55835,,,,,Yes,D,D,D,D,D,"C,D","C,D","C,D","C,D","C,D","C,D"
1000272,UCC South Charleston Plant,SOUTH CHARLESTON,WV,50151,,,,,,C,C,C,C,C,C,C,C,C,C,C
1000273,"GP Big Island, LLC",BIG ISLAND,VA,50479,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1000274,AK Steel Corporation - Middletown,MIDDLETOWN,OH,880042,,,,,,"C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q","C,Q"
1000275,Bayer Cropscience Institute Plant,INSTITUTE,WV,880053,,,,,,C,C,C,C,C,C,C,C,No submission,No submission,No submission
1000276,INVISTA S.a.r.l. Camden Plant,LUGOFF,SC,880057,,,,,,C (Abbr),C,C,C,C,C,C,C,C,C,C
1000277,Jasper County Generating Facility,HARDEEVILLE,SC,55927,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1000278,Walter M. Higgins III Generating Station,PRIMM,NV,55687,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1000279,Feather River Energy Center,YUBA CITY,CA,55847,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000280,Wolfskill Energy Center,FAIRFIELD,CA,55855,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000281,"AES Deepwater, Inc.",PASADENA,TX,10670,,,,,Yes,D,D,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission
1000282,"DTE Calvert City, LLC",CALVERT CITY,KY,55308,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1000283,Henrietta Peaker Plant,LEMOORE,CA,55807,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
